order_id,customer_name,product,quantity,unit_price,region,order_date,shipping_cost,discount_percent,total_revenue
101,Eve Thomas,Keyboard,3.0,276.83,North,,45.69,1.4,818.86
102,,Laptop,5.0,412.85,,,20.67,,
103,,Monitor,3.0,846.38,East,2023-05-11,,20.1,
104,,Monitor,1.0,1086.16,North,2020-04-28,40.26,0.1,1085.07
105,Grace Moore,Mouse,5.0,1007.29,South,2020-07-07,22.84,8.3,4618.42
106,Yara Miller,Keyboard,7.0,455.9,South,,32.99,10.0,2872.17
107,,Phone,7.0,1434.55,,2020-08-17,43.81,,8696.24
108,Mia Lopez,Mouse,,1119.95,West,2023-04-16,47.73,,7761.25
109,Olivia Taylor,,3.0,853.81,East,2024-01-08,11.62,8.7,2338.59
110,Olivia Brown,,7.0,937.0,East,2024-03-15,46.7,8.7,5988.37
111,Henry Davis,,,658.42,North,2024-10-30,27.15,,
112,,Monitor,4.0,409.21,South,2021-08-19,,11.3,1451.88
113,Alice Jackson,Phone,4.0,566.16,East,2022-09-27,25.66,5.6,
114,Rachel Davis,Phone,5.0,1148.88,,2025-12-15,49.1,11.3,5095.28
115,,Mouse,7.0,70.87,East,2024-08-14,27.17,3.5,478.73
116,Alice Williams,,,,South,2022-01-07,19.79,,
117,Wendy Johnson,Laptop,4.0,116.7,East,2021-11-27,33.5,12.5,21.74603751373372
118,Henry Williams,,7.0,109.06,North,2021-12-18,15.81,10.5,683.26
119,Bob Hernandez,Monitor,3.0,,,2020-11-19,8.41,,2984.74
120,Charlie Taylor,Phone,6.0,1070.3,East,2024-04-15,10.8,,
121,Henry Rodriguez,Phone,2.0,737.55,North,2022-09-13,10.76,14.5,1261.21
122,Victor Thomas,Mouse,9.0,191.86,,2025-07-31,11.84,,1453.92
123,Grace Moore,Keyboard,5.0,762.84,East,2021-08-09,11.25,0.3,3802.76
124,Eve Jackson,Monitor,6.0,,South,2022-08-09,33.84,16.6,3685.6
125,Sam Thomas,Laptop,4.0,301.14,West,2025-03-03,13.18,,1150.35
126,Henry Thomas,Keyboard,7.0,679.08,North,2022-11-06,20.56,,3612.71
127,Zack Wilson,Phone,9.0,627.83,North,2025-02-25,45.36,3.7,5441.4
128,,Laptop,7.0,942.98,East,2022-11-11,,,
129,Diana Wilson,Monitor,,970.89,West,2020-02-08,35.04,2.1,
130,Liam Wilson,Phone,,115.69,West,2025-03-20,,,
131,Noah Anderson,Monitor,9.0,,West,,13.65,12.6,4666.03
132,Xavier Johnson,,9.0,957.5,East,2026-02-16,,14.9,
133,Victor Brown,Keyboard,,779.55,South,2021-10-09,12.6,1.7,3065.19
134,Bob Gonzalez,Keyboard,,1291.91,North,2020-10-29,17.54,18.7,9452.91
135,Xavier Hernandez,,3.0,1005.11,,,,5.2,2858.53
136,Zack Brown,Tablet,7.0,286.25,West,,8.99,22.5,
137,Henry Miller,Monitor,6.0,152.32,North,2023-05-10,10.43,5.1,867.31
138,Grace Moore,Keyboard,8.0,981.51,North,2024-10-03,25.74,4.8,7475.18
139,Olivia Jones,Mouse,9.0,88.44,West,2022-10-21,14.29,0.9,788.8
140,Noah Garcia,Keyboard,5.0,899.37,,2025-02-14,21.39,11.8,
141,Ivy Anderson,Monitor,1.0,1413.33,North,2023-05-22,27.65,14.1,
142,,,3.0,884.44,,,36.07,1.6,2610.87
143,,Monitor,8.0,612.85,South,,6.77,19.4,3951.66
144,Diana Johnson,Phone,6.0,982.77,South,,40.97,11.3,5230.3
145,Uma Moore,Mouse,8.0,714.47,East,2021-03-12,,13.1,4967.0
146,Alice Williams,Monitor,9.0,841.14,North,2022-08-29,8.68,11.0,
147,Yara Davis,Monitor,,,South,2024-04-11,,10.0,5094.43
148,Frank Wilson,Tablet,1.0,,North,2024-01-10,,14.0,
149,Peter Thomas,Phone,1.0,1443.73,West,2023-04-26,7.75,3.9,
150,Grace Gonzalez,Mouse,,1362.76,South,2023-04-24,17.46,4.5,5205.74
151,Bob Garcia,Tablet,7.0,333.9,West,,,21.5,
152,,Keyboard,,150.57,West,2024-06-09,38.67,23.7,229.77
153,Mia Rodriguez,Monitor,3.0,196.13,West,2023-01-29,,,
154,Zack Anderson,Mouse,1.0,76.42,,2020-02-03,622.2547656437958,6.8,71.22
155,Jack Wilson,Phone,,186.94,West,2020-07-19,,16.1,784.21
156,Wendy Moore,Tablet,1.0,1040.36,East,2025-07-27,26.8,10.2,934.24
157,Victor Thomas,Monitor,8.0,153.22,,2023-03-18,32.82,0.6,1218.41
158,Eve Miller,Laptop,1.0,512.51,North,2022-07-31,,3.9,
159,,Mouse,1.0,1275.07,South,2023-12-14,25.81,17.9,1046.83
160,Bob Jackson,Tablet,2.0,83.74,South,2022-06-16,38.64,16.5,139.85
161,Xavier Moore,Phone,2.0,1230.98,,2022-02-17,6.65,0.7,2444.73
162,Bob Hernandez,Tablet,,458.69,North,2022-10-23,16.36,5.5,2600.77
163,Bob Johnson,,7.0,221.34,South,2021-07-14,37.1,5.8,
164,Sam Thomas,Tablet,,1060.27,South,2021-02-01,45.28,,4410.72
165,,,,961.97,South,2020-06-10,28.03,0.5,957.16
166,Frank Johnson,Laptop,1.0,1322.33,North,2023-06-19,28.95,2.6,1287.95
167,Quinn Williams,Phone,3.0,,,2024-12-10,9.82,20.0,2678.04
168,Frank Williams,Phone,2.0,1215.05,North,2020-05-16,25.13,4.5,2320.75
169,Tina Williams,Phone,5.0,458.95,West,2024-02-03,28.97,,1920.71
170,Victor Davis,Monitor,6.0,307.29,,2021-06-22,,6.0,1733.12
171,Mia Brown,Mouse,7.0,1138.39,West,,17.12,2.5,7769.51
172,Sam Davis,,4.0,1219.91,East,2023-04-23,21.98,6.1,
173,Sam Martin,,7.0,1486.23,North,2023-08-31,5.9,18.1,8520.56
174,,Phone,8.0,648.3,South,2024-08-28,,,4076.51
175,Charlie Wilson,Laptop,1.0,589.43,East,,14.52,20.8,
176,Victor Jackson,Monitor,6.0,1175.8,East,2022-04-02,19.74,,6356.37
177,Sam Taylor,Monitor,8.0,544.17,West,2021-06-25,10.39,16.7,3626.35
178,Kelly Rodriguez,Tablet,5.0,1399.6,North,2026-01-18,45.07,,6641.1
179,Grace Hernandez,Keyboard,,1294.7,South,2024-02-07,31.71,,4800.75
180,Henry Rodriguez,Monitor,2.0,672.04,East,2025-12-14,35.56,22.4,1043.01
181,Mia Jones,Monitor,6.0,,South,2025-08-17,40.51,,6812.06
182,Victor Martinez,,6.0,1144.09,West,2023-01-21,,,6720.38
183,Olivia Hernandez,,,199.53,North,,8.91,5.2,
184,Yara Williams,Monitor,,1358.7,South,2022-11-18,29.17,0.7,12142.7
185,Alice Anderson,Monitor,6.0,,South,,31.41,,4484.41
186,Tina Jackson,Keyboard,,1248.36,East,2023-04-23,38.54,14.6,3198.3
187,Diana Williams,,4.0,514.07,South,,,10.5,
188,Rachel Miller,,4.0,1348.51,North,,10.74,22.3,4191.17
189,Quinn Rodriguez,Keyboard,3.0,614.34,North,2025-04-02,17.77,20.4,1467.04
190,,Monitor,3.0,65.71,South,2020-11-04,21.34,8.5,180.37
191,Charlie Davis,,3.0,1362.8,East,,34.07,,3822.65
192,,Laptop,4.0,182.37,East,2022-07-13,30.69,9.5,660.18
193,Frank Anderson,Tablet,7.0,513.0,West,2024-06-15,21.02,,3059.53
194,,Tablet,,1427.59,North,2024-02-07,49.39,6.7,5327.77
195,Tina Taylor,,286.17921371439184,1428.38,West,2021-01-04,32.26,,10849.97
196,Alice Moore,,,881.48,,2024-06-04,,10.2,
197,Jack Brown,Keyboard,,966.16,West,2020-02-27,,13.8,6662.64
198,Eve Rodriguez,Mouse,7.0,700.25,East,,11.88,10.9,4367.46
199,Diana Brown,,2.0,475.16,,,16.07,7.4,880.0
200,Xavier Moore,Keyboard,,526.56,West,,,23.7,3214.12
201,Eve Rodriguez,Keyboard,1.0,1025.15,North,2025-02-05,13.4,19.1,829.35
202,,Phone,9.0,,North,2024-02-18,17.83,3.5,
203,Grace Hernandez,Monitor,,,West,,12.8,21.7,8440.83
204,Grace Rodriguez,Phone,2.0,1194.95,,,45.35,12.2,2098.33
205,Quinn Thomas,Tablet,7.0,182.25,East,,8.61,22.4,989.98
206,Ivy Johnson,Monitor,,766.91,North,2021-03-19,28.6,,1840.58
207,Charlie Wilson,Monitor,7.0,133.46,North,2022-08-15,,10.6,835.19
208,Ivy Johnson,Laptop,,846.82,South,,49.21,0.6,7575.65
209,Alice Hernandez,Monitor,,,North,,10.04,6.7,
210,Yara Jones,Tablet,1.0,,East,2023-09-05,22.9,,1156.65
211,Uma Rodriguez,,2.0,558.83,North,2022-06-25,48.63,15.8,941.07
212,,Mouse,1.0,219.75,South,2020-09-15,43.95,,205.69
213,Rachel Wilson,,5.0,257.34,West,,41.77,,1241.67
214,Rachel Smith,Mouse,5.0,1154.19,West,,16.61,20.9,
215,Diana Williams,Phone,7.0,946.42,East,,12.69,,4995.2
216,,Monitor,9.0,196.63,South,2021-04-22,35.09,13.1,1537.84
217,Rachel Johnson,,9.0,171.95,West,2021-07-26,,4.3,
218,Liam Jackson,,,1066.41,West,2020-07-04,30.05,6.8,2981.68
219,Rachel Jones,Keyboard,3.0,155.51,North,2020-06-01,30.72,0.5,
220,Noah Jones,Laptop,3.0,1241.7,West,2023-05-31,17.6,22.9,2872.05
221,,Monitor,4.0,1074.05,East,,39.63,2.9,4171.61
222,Liam Johnson,Keyboard,8.0,167.96,West,,,14.4,1150.19
223,,Keyboard,6.0,173.01,East,2021-02-02,19.57,6.9,966.43
224,Victor Davis,Mouse,8.0,1480.63,,,,13.9,10198.58
225,Victor Brown,Laptop,,592.69,North,2026-01-10,27.84,16.3,
226,Liam Moore,Laptop,8.0,587.43,,2021-07-09,15.91,20.7,3726.66
227,,Mouse,4.0,1228.56,East,,10.17,5.2,4658.7
228,Xavier Jones,Monitor,1.0,,West,2025-02-01,32.48,0.3,1419.24
229,Henry Garcia,Phone,8.0,1479.7,West,2024-02-28,17.99,3.4,11435.12
230,Zack Garcia,Monitor,4.0,1142.4,,2026-01-21,,22.5,3541.44
231,Noah Smith,Phone,6.0,595.58,West,2024-09-12,11.95,,2794.46
232,Frank Hernandez,,8.0,,North,2021-09-24,26.65,14.9,
233,Zack Wilson,Tablet,4.0,1176.86,West,2024-08-26,28.97,15.0,4001.32
234,,Monitor,3.0,859.69,North,2021-02-09,7.33,16.6,2150.94
235,Ivy Garcia,Tablet,9.0,665.12,,,20.15,4.4,5722.69
236,Zack Brown,Phone,3.0,1364.21,East,,11.05,0.9591854835969592,3155.42
237,Mia Johnson,Monitor,9.0,211.24,East,2023-02-19,7.85,10.5,1701.54
238,Peter Davis,Tablet,2.0,764.31,North,2020-05-14,49.55,9.6,1381.87
239,,,2.0,66.46,West,2024-02-26,19.51,13.0,115.64
240,Liam Martinez,Monitor,2.0,,North,,41.44,1.2,1441.61
241,Zack Davis,Tablet,6.0,131.64,West,2024-12-21,16.46,4.2,756.67
242,Henry Smith,Monitor,3.0,222.29,West,2024-12-26,35.67,18.5,39957.99548070359
243,Victor Miller,Tablet,9.0,17734.488187625964,,,,,1942.03
244,,Laptop,4.0,,South,2024-01-25,31.8,15.1,3366.62
245,,Monitor,1.0,1131.77,East,2021-02-10,26.22,0.5862203352159049,1062.73
246,,Laptop,4.0,895.88,West,2024-02-13,23.53,9.7,3235.92
247,Liam Taylor,Mouse,1.0,1445.15,West,2026-02-08,20.7,7.2,1341.1
248,Mia Moore,,5.0,,,,46.83,,2703.67
249,Kelly Smith,Laptop,4.0,464.28,South,2020-09-05,42.38,,1522.84
250,Diana Rodriguez,Tablet,8.0,1309.47,East,2024-06-18,,7.4,
133,Victor Brown,Keyboard,,779.55,South,2021-10-09,12.6,1.7,3065.19
117,Wendy Johnson,Laptop,4.0,116.7,East,2021-11-27,33.5,12.5,408.45
39,Frank Lopez,Laptop,2.0,1407.42,West,2025-09-10,45.99,,2378.54
156,Wendy Moore,Tablet,1.0,1040.36,East,2025-07-27,26.8,10.2,934.24
229,Henry Garcia,Phone,8.0,1479.7,West,2024-02-28,17.99,3.4,11435.12
132,Xavier Johnson,,9.0,957.5,East,2026-02-16,,14.9,
36,,Keyboard,,509.54,North,2023-02-05,41.62,8.4,933.48
84,Quinn Brown,Tablet,5.0,820.46,North,2024-06-16,43.35,3.8,3946.41
239,,,2.0,66.46,West,2024-02-26,19.51,13.0,115.64
157,Victor Thomas,Monitor,8.0,153.22,,2023-03-18,32.82,0.6,1218.41
82,Xavier Rodriguez,Mouse,3.0,173.75,West,2022-12-21,39.75,23.1,400.84
42,Wendy Williams,Keyboard,2.0,190.91,West,,37.66,19.7,306.6
101,Eve Thomas,Keyboard,3.0,276.83,North,,45.69,1.4,818.86
158,Eve Miller,Laptop,1.0,512.51,North,2022-07-31,,3.9,
190,,Monitor,3.0,65.71,South,2020-11-04,21.34,8.5,180.37
216,,Monitor,898.4795234084406,196.63,South,2021-04-22,35.09,13.1,1537.84
77,Yara Rodriguez,Phone,8.0,234.24,West,2021-08-13,32.82,,1864.55
152,,Keyboard,,150.57,West,2024-06-09,38.67,23.7,229.77
87,Tina Miller,Mouse,,1102.83,West,2025-12-25,44.45,10.6,550150.775599841
130,Liam Wilson,Phone,,115.69,West,2025-03-20,,,
213,Rachel Wilson,,5.0,257.34,West,,41.77,,1241.67
131,Noah Anderson,Monitor,9.0,,West,,13.65,12.6,4666.03
137,Henry Miller,Monitor,6.0,152.32,North,2023-05-10,10.43,5.1,867.31
126,Henry Thomas,Keyboard,7.0,679.08,North,2022-11-06,20.56,,3612.71
182,Victor Martinez,,6.0,1144.09,West,2023-01-21,,,6720.38
